DATE,OPEN,HIGH,LOW,CLOSE
04/11/2023,10.400000,19.480000,10.050000,19.310000
04/12/2023,13.060000,16.050000,11.690000,14.440000
04/13/2023,10.320000,14.240000,9.930000,13.560000
04/14/2023,10.550000,14.000000,10.120000,12.560000
04/17/2023,9.220000,11.600000,9.110000,11.360000
04/18/2023,8.990000,12.230000,8.820000,11.810000
04/19/2023,9.770000,12.560000,9.410000,11.950000
04/20/2023,9.810000,14.970000,9.750000,12.750000
04/21/2023,10.130000,13.600000,9.720000,13.270000
04/24/2023,8.550000,10.090000,8.550000,9.960000
04/25/2023,8.470000,16.400000,8.330000,14.590000
04/26/2023,11.420000,15.130000,10.700000,13.730000
04/27/2023,9.740000,15.590000,9.650000,15.280000
04/28/2023,10.350000,13.970000,10.120000,13.350000
05/01/2023,9.510000,10.850000,8.860000,10.060000
05/02/2023,9.340000,19.830000,9.340000,19.820000
05/03/2023,19.370000,23.030000,17.540000,17.640000
05/04/2023,15.090000,21.000000,14.710000,20.770000
05/05/2023,13.020000,14.580000,11.770000,14.120000
05/08/2023,10.140000,12.450000,9.570000,11.320000
05/09/2023,10.060000,18.330000,9.760000,18.330000
05/10/2023,11.690000,14.860000,10.980000,13.390000
05/11/2023,11.910000,13.820000,10.980000,13.820000
05/12/2023,10.080000,15.940000,9.860000,14.180000
05/15/2023,10.470000,11.680000,9.490000,11.680000
05/16/2023,9.780000,14.110000,9.240000,13.980000
05/17/2023,9.560000,13.080000,9.180000,12.940000
05/18/2023,10.440000,13.970000,10.100000,13.700000
05/19/2023,11.360000,15.370000,11.140000,14.170000
05/22/2023,10.280000,12.800000,10.060000,12.290000
05/23/2023,11.370000,14.630000,9.410000,13.430000
05/24/2023,12.780000,17.610000,12.410000,17.510000
05/25/2023,14.200000,17.150000,12.520000,16.500000
05/26/2023,13.290000,21.130000,12.580000,20.340000
05/30/2023,11.640000,14.310000,10.520000,13.580000
05/31/2023,11.510000,15.130000,10.590000,15.100000
06/01/2023,10.520000,14.460000,9.920000,13.980000
06/02/2023,10.640000,12.200000,10.300000,11.900000
06/05/2023,9.690000,11.290000,8.860000,10.570000
06/06/2023,9.530000,10.300000,8.610000,10.270000
06/07/2023,8.900000,11.040000,8.500000,11.040000
06/08/2023,9.240000,11.120000,8.350000,11.020000
06/09/2023,9.260000,11.960000,8.840000,11.590000
06/12/2023,9.290000,16.790000,9.040000,16.750000
06/13/2023,11.780000,17.390000,11.450000,17.260000
06/14/2023,15.890000,19.360000,13.680000,13.980000
06/15/2023,11.080000,16.290000,9.820000,15.000000
